Date,S&P500,Eurostoxx 50,Hang Seng,MSCI EM,SMI,US T 10-year Yield,German Gov 10-year yield,Oil futures,Gold,EURUSD,USDJPY,US IG Bonds,US HY Bonds,USDCHF
2001-05-04,0.2280398286621926,0.23119931857234297,0.2992504652955577,0.19522633770014972,0.15353597220639506,89.8519071535128,53.3379237948107,0.43167354860577195,0.1139168594179395,0.12715515170517735,0.10706311814082216,0.04098399656090406,0.031567345850048965,0.11716980046411798
2001-05-07,0.22800025268565888,0.23117665145595245,0.2967676184048445,0.19523285889240202,0.15400851038239308,89.7060129809603,53.1633676263131,0.4316781626756759,0.11383101949050436,0.12666722861739743,0.10706431136276306,0.040853571240231604,0.03160416428639374,0.11680539323172735
2001-05-08,0.22756009978626723,0.23041468291033745,0.29663666795567345,0.19510495069343023,0.15387418161454539,89.80435286125424,52.89442041610226,0.4316637598055571,0.11223045650525995,0.1256305649518582,0.10657605743287653,0.040861588273333665,0.03161861734915411,0.11570232794206568
2001-05-09,0.22728703736064193,0.22997970788984856,0.29644184742045493,0.1945529047858647,0.15374706063944416,89.46271497399297,52.762200431959876,0.43273053038654363,0.11388447998289901,0.12558220137135642,0.10652656254748546,0.04029460883981437,0.031611588956263356,0.11566544395745106
2001-05-10,0.22683142404913179,0.23093293320448857,0.2962123305261829,0.1945361579963079,0.15454879165495664,90.35794865125109,52.7435781593531,0.432738331827052,0.11389839018149003,0.12551583043282322,0.10628299243916338,0.04064756356090615,0.03157059826731604,0.115498890049638
2001-05-11,0.2267011710368832,0.23079207961810974,0.2956755855119359,0.19287322729728432,0.1544361243919276,91.70353301878544,53.39882659826628,0.430502954657066,0.11368634087726513,0.1253688613047173,0.10234414231758823,0.04189988814514471,0.031587202902465666,0.11528364713355028
2001-05-14,0.22671157298759087,0.2286162092857258,0.29683641073002454,0.1923931278306967,0.1539336577577151,91.72975378296644,53.7206825966072,0.43054848464274503,0.11362590526386544,0.1251742791638255,0.1024667796266566,0.04201916693890379,0.03157996979912363,0.11501163008282286
2001-05-15,0.22577389705207954,0.22854438131714952,0.2960505296114754,0.19241494630520395,0.1542243568939281,92.23684047622096,53.332644970242285,0.4306418523525858,0.11361804277191805,0.12508624887915565,0.10246746363191397,0.04206570746194558,0.03158234052262853,0.11488341043975502
2001-05-16,0.22732233442592784,0.22851177074525206,0.29479169762727586,0.19250188979607372,0.15398047630077827,92.40520759371857,53.35393881665152,0.43009610841227125,0.11451085787299531,0.1251991864670051,0.10238919961676451,0.04209121424412366,0.03159196857811737,0.11501054668108916
2001-05-17,0.22594446073455807,0.2288351588331564,0.2956541601634789,0.19468876962198428,0.15420298956635894,92.40520759371857,53.31729091727158,0.4259081058560912,0.11295560173098135,0.1251991903526741,0.10171794143857837,0.04211644409228627,0.031595340231286406,0.11503210518753608
2001-05-18,0.22579549645746216,0.22884206306210728,0.29583208642706815,0.19467928445323357,0.15351520070806032,92.3991298832799,53.271763926798116,0.4183717510452923,0.1220700985340402,0.12517300159599706,0.10153152122217514,0.04211915907727005,0.031594239714876605,0.1150059389941636
2001-05-21,0.22491252797509328,0.22887139360496678,0.2960890346163553,0.19478666054443552,0.15340508003074133,92.38364384133355,52.172540929991456,0.4181364172615471,0.12183677618994329,0.1251116015141069,0.10159618643942986,0.04210813088224755,0.031600792183010984,0.11491177445426913
2001-05-22,0.2248852523023189,0.22858636735628596,0.29610443052077245,0.19490061581343693,0.1534690592231658,92.36495148565923,52.260516595425244,0.418190620133917,0.12160663623905808,0.12573184436013876,0.10157594354455356,0.04204551108783384,0.031560966998080815,0.11533447786843465
2001-05-23,0.22525389733329296,0.22686566447195836,0.29324383653622627,0.19210313067016402,0.15236081177922772,92.3623409830678,52.25645675807312,0.4181212154898267,0.12158373530948917,0.1261022740240125,0.10385737448550315,0.04204555748934882,0.03156109214796939,0.11554070151797315
2001-05-30,0.22510650519359848,0.227259056511863,0.2934687176175587,0.19226344290610747,0.15230492042579347,92.0710921839001,52.13747856308678,0.41802225403774174,0.12487566846882614,0.12602071176688312,0.10376168243837262,0.04195822323214198,0.03156000616790544,0.11544054627303514
2001-05-31,0.22383890276125856,0.22489615662043405,0.29382536181672836,0.19217263493536965,0.1525669058823363,92.89205833650155,52.11217130390911,0.4169515885119472,0.12487667071273698,0.12669945022546494,0.10413260514890914,0.042375211144053807,0.03142410586175873,0.11590727545883375
2001-06-01,0.218775990868371,0.22409924718750124,0.2929682846968613,0.1920968039085822,0.14741931611141312,92.80942797107792,52.64278569431305,0.4170255762728405,0.12471141423711901,0.12669482114347844,0.10407002185093261,0.04239271886516742,0.031417896799634956,0.11586277864372284
2001-06-06,0.21892353598443,0.22383016254515736,0.28975944942642495,0.19198965464959905,0.14736902337992905,92.69936413780711,52.6341444440259,0.41737574391671745,0.12454237658379888,0.1268466158821678,0.10335285316314528,0.0423530118203718,0.03140976884381512,0.11620384483111211
2001-06-07,0.21897845003741745,0.22354612285483572,0.2897776213730452,0.1919003314608057,0.14705999866672426,92.99163737408821,52.752465605789844,0.41456213975620065,0.124275281018429,0.12690714575994755,0.10325183874880886,0.04245626902604793,0.031401982190838326,0.11621632983085467
2001-06-08,0.2175393041189499,0.22353295585701954,0.28990912585592826,0.19183563221183414,0.1464639590510321,92.96112797691846,52.70978177171967,0.41215392359661035,0.12693501500928778,0.12640230960024235,0.10335035536819731,0.042515244590335635,0.03140103915458542,0.11566717714049597
2001-06-11,0.21758232598459898,0.22357754876778888,0.2892639539047176,0.19184476343995835,0.14558512291432185,93.18889931840206,52.60380557863264,0.41246507330029336,0.12845297212414983,0.12673618886214602,0.10358549900155815,0.042616235898949514,0.03142145075466148,0.11584265194505897
2001-06-12,0.21676915938541963,0.22558339093022153,0.28923580391016984,0.19133967574894598,0.14604769408753535,93.17984837627861,52.33661747081916,0.41246034581101554,0.1290849099387918,0.126954188354741,0.103609801763172,0.04259771757461752,0.031435503474220285,0.1149606657029978
2001-06-13,0.21700004871675957,0.22463263064515018,0.28918607862140183,0.19085343150417244,0.14594756077089735,92.44228586063537,52.1074740836522,0.4118080994785352,0.12902428091684548,0.1267866379038521,0.10356889041831817,0.042186629579640034,0.031462223562927626,0.11404472256157683
2001-06-18,0.21702671102809692,0.22512156221571514,0.2878561553514792,0.19133131028750544,0.14563696165176765,92.47310107437048,51.685628891061604,0.4131310607026159,0.12800260092052398,0.12634082567189245,0.10358181434722115,0.04219282066192666,0.032157789827112995,0.11347292437508266
2001-06-19,0.2168785819746235,0.22493142298674745,0.28827387442815816,0.19123831458842708,0.14576328479896627,92.4323797200803,51.607320996909806,0.41236684368885973,0.128024578819827,0.1263957895921346,0.10321613833339241,0.04219296769306618,0.03229107097752739,0.11335835134567548
2001-06-20,0.21710041632294902,0.2249546899904325,0.2885007735477824,0.19123452363806845,0.14583872155681726,92.46967673533757,51.597693870453206,0.4132647418115882,0.12760664832228932,0.1260677709741675,0.10345171625505793,0.042195637399225265,0.03232556689954785,0.11283623664780104
2001-06-21,0.21710003002362457,0.2230111239364266,0.28731092019620474,0.1905678587764071,0.1458289083561539,92.09877665503795,51.49721249950453,0.4131575466293391,0.12760272235330317,0.12561016573405137,0.1035814805749166,0.04220310722078155,0.03223931452059591,0.11229572653867771
2001-06-22,0.2170979683773958,0.2230982139817081,0.287301830680838,0.19055776717456377,0.14588233143184084,92.13107478065706,51.34537365737967,0.41321638954634,0.12733558467321454,0.12554058457195957,0.09984591516160532,0.04234979046835443,0.03226149111933859,0.112230887927778
