,Rolling_average_correlation
1994-05-26,0.019384889750892493
1994-05-27,0.019242727303267777
1994-06-01,0.019250756909889075
1994-06-06,0.01991148303381673
1994-06-07,0.020663485879273445
1994-06-08,0.020586294996371834
1994-06-09,0.02066956039120224
1994-06-10,0.020997965612700318
1994-06-16,0.021085992469122055
1994-06-17,0.020743662402134783
1994-06-20,0.01990091339954556
1994-06-21,0.021639131085889413
1994-06-22,0.02150250357412949
1994-06-23,0.0214938352889096
1994-06-24,0.02250562621694881
1994-06-27,0.02270735874235744
1994-06-28,0.021287953049077067
1994-06-29,0.020873450453673774
1994-06-30,0.020690556867784822
1994-07-01,0.02054519600666694
1994-07-06,0.020579392785899465
1994-07-07,0.020493246341358795
1994-07-08,0.020633461021532733
1994-07-11,0.01958311639427127
1994-07-12,0.019292039687466157
1994-07-13,0.01901860365996227
1994-07-14,0.01883842540987685
1994-07-15,0.018658321952617487
1994-07-18,0.018482449090232868
1994-07-19,0.018168845617738585
1994-07-20,0.017861567806892145
1994-07-21,0.01792554494535947
1994-07-22,0.01809774368478996
1994-07-25,0.018150297894798762
1994-07-26,0.018388132097460555
1994-07-27,0.0179674651423898
1994-07-28,0.01890488582132477
1994-07-29,0.018639085139278897
1994-08-03,0.018966757391845477
1994-08-04,0.018904932253299107
1994-08-05,0.019235893853939805
1994-08-08,0.01945859101206664
1994-08-09,0.01937122761353204
1994-08-10,0.019816231109483093
1994-08-11,0.020362318650498736
1994-08-12,0.01996672488117646
1994-08-15,0.020376377679125143
1994-08-16,0.019500048391026606
1994-08-17,0.01975993630551318
1994-08-18,0.019914497019506643
1994-08-19,0.019680944599803674
1994-08-22,0.01987930800879015
1994-08-23,0.019737118348988583
1994-08-24,0.02076971269327887
1994-08-25,0.02068580834699178
1994-08-26,0.020345991475283376
1994-08-31,0.02089873164029926
1994-09-01,0.0210433431403497
1994-09-02,0.020848144829912485
1994-09-07,0.020976920505674613
1994-09-08,0.020904482224648323
1994-09-09,0.020749731211247274
1994-09-12,0.021370138517765234
1994-09-13,0.02176705752546152
1994-09-14,0.021777041595057462
1994-09-15,0.021656800754298523
